index,Username,Title_Review,Rating_Review,Review,State,Type_traveler,Date_Travel,Attraction_id
59,Paola,Espaço gastronômico e cultural,40,"A Estação é um complexo que oferece opções de restaurantes, bares, sorveterias e artesanato. ambiente climatizado. Vale a pena experimentar um chopp da Amazon Beer e curtir o visual do Rio.",,Families,2018-12-01,2
60,Elaine A,Local imperdível ,40,Local muito charmoso e atraente. Varidade de restaurantes e lojas de lembrancinhas.Os banheiros poderiam ser mais limpos e organizados. Tem uma vista maravilhoso para o pôr do sol. Vale a pena.Tacacá e Vatapá são facilmente encontrados.,"Jundiaí, SP",Families,2019-01-01,2
61,Gabriela,Lindo e Aconchegante,50,"Meu lugar preferido em Belém. Tem artesanato, música ao vivo, comida boa e uma vista linda. Impossível não gostar!","Salvador, BA",Families,2018-06-01,2
62,Ana Paula Alves,Ótimas opções p comer,50,"A Estação das Docas oferece caminhada e mesas ao ar livre, em frente ao rio, e ambientes sob ar condicionado. Ótima opção de fim de tarde ou à noite, p jantar. A única ressalva é a temperatura: tava gelado lá dentro! Clima surreal em Belém Há restaurantes, opções de lanche, comidas típicas, artesanato.","Fortaleza, CE",Families,2018-02-01,2
63,brenocostarep,Imperdível,40,"O lugar é o principal ponto turístico de Belém. Pode-se visitar de dia ou de noite, sempre será uma experiência legal. Tem espaços amplos para circular com crianças, carrinhos de bebê ou cadeiras de rodas. òtimas oções de cozinha regional. Imperdível para quem mora e principalmente para quem visita Belém.","Porto Alegre, RS",Families,2018-12-01,2
64,Sandro F,Estação das Docas,30,Esperava mais. Os restaurantes são caros e não achei muito atrativos. Vale pelo sorvete Cairú ou pela cerveja artesanal de cupuaçu.,,Families,2018-12-01,2
65,Patrícia,Excelente,50,"Excelente ambiente para passeio com espaço cultural e gastronômico, opção de passeios de barco ou simplesmente contemplar a baía e a natureza.","Belém, PA",Families,2018-12-01,2
66,Renata G Tedeschi,Ótimo passeio,50,"Fomos (meus pais, meu marido, meu neném e eu) passear na estação em um sábado. Aproveitamos para almoçar no La em casa.Essa época chove muito em Belém, e por ser um lugar fechado, é uma boa opção de passeio para dias chuvosos.","Belém, PA",Families,2018-12-01,2
67,gilmar o,Um ponto turístico inigualável com vista pra baía.,50,Tudo de bom esse lugar.com variedades de comidas e bebidas diversas e regionais.e se você der sorte ainda curte uma boa MPB.bom pra levar a família e tomar uma cerveja de frutos regionais.quem for a Belém não deixe de visitar esse lindo lugar,"Taguatinga, DF",Families,2018-10-01,2
68,Minerva A,Ótimo para final de tarde,50,"Lugar muito agradável para você fazer um lanche no final da tarde, ou só andar a beira rio, uma boa opção é a sorveteria cairu com os seus diversos sabores de sorvete.","Belém, PA",Families,2018-02-01,2
69,Eliane Farias,Diversão,50,"Melhor lugar de Belém para relaxar, com boa música, excelente comida e conforto. Entrada gratuita a partir das 10:00h da manhã até às 12:00h da noite. O réveillon mais concorrido de Belém. Tem barco para visita panorâmica ao entardecer junto com espetáculo de dança regional. Lojas, restaurante, café, cervejaria, bares, etc. Maravilhoso.",,Families,2018-12-01,2
70,ACarlos,Lugar fantástico ,50,"Durante minha estada em Belém estive por duas vezes na Estação da Dicas. Local limpo, com bons restaurantes que oferem também pratos gourmet promocionais, tem a famosa sorveteria Cairu e outra também, com sorvetes maravilhosos de frutas típicas do Norte do Brasil. À noite tem música ao vivo, agradável,  fica na beira do rio, com uma vista muito linda. Vale à pena conhecer.","Brasília, DF",Families,2018-11-01,2
71,EdnaNeiva,Estação das Docas,50,"Estação das Docas é um ponto turístico super agradável em Belém. Fica as margens da Baía do Guajará onde podemos apreciar o por do sol ou a lua cheia. Lá tem vários restaurantes, lanchonetes, sorveteria e varias lojinhas com artigos regionais e nao regionais. Vale muito a pena ir lá.","Belém, PA",Families,2018-12-01,2
72,Keila C,Cartão postal ,50,"Um lugar que você tem que conhecer, vários restaurantes com comidas excelentes, bem monitorado e conta a história da cidade.Lá tem o verdadeiro sorvete paraense.Lugar lindo apara tirar belas fotos.","São Paulo, SP",Families,2018-08-01,2
73,Catia R,O melhor lugar,50,"Bom a qualquer hora e pra qualquer momento. Com a família, com amigos, à dois... várias opções de restaurantes e de lugares pra petiscar as delícias do nosso Pará, bem como pratos internacionais. A vista é maravilhosa. Não conheço nenhum lugar que se aproxime de lá em beleza e opções. O palco suspenso móvel, com música ao vivo sempre agradável é um diferencial. Simplesmente amo esse lugar...","Belém, PA",Families,2018-06-01,2
74,Atendimento V,EXPOSIÇÃO MILITAR,50,"Local muito atraente a beira do Rio Guamá, ventilação ao cheiro das águas, com restaurantes, bares diversos, local familiar, bom para reflexão.",,Families,2018-07-01,2
75,patriciaportal,Maravilhoso,50,Fui visitar meu noivo e passamos o sábado lá saboreando as melhores gastronomias que o meu Pará tem.,"Belém, PA",Families,2018-06-01,2
76,Marina Fanti F,O Puerto Madero brasileiro,50,"Paisagismo e arquitetura em harmonia, emoldurados pelo lindo Rio Tocantins fazem das Docas uma experiência na cidade. Restaurantes, artes, sorvetes Cairu, shows e a vista do por do sol sao um convite a todos os que querem relaxar e se divertir!","São Paulo, SP",Families,2018-08-01,2
77,SissaLourenco,Lugar histórico e vale a visita,50,"Um lugar pitoresco e com histórias.Hoje totalmente revitalizado e com bares, restaurantes e lojinhas... Se estiver em Belém, vale a visita!!!Final de tarde, à noite... Adorei!","São Paulo, SP",Families,2018-07-01,2
78,Izabel B,passeio familiar,50,"Por do saol imperdível, associado´a linda paisagem da baía e com botecos, lanchonetes, sorveterias e restaurantes muito bom. recomendo a visita","Fortaleza, CE",Families,2018-08-01,2
79,Adriana Tata,Muito bonito ,40,"Símbolo da cidade , onde o transporte marítimo teve e ainda tem bastante importância . Restaurantes agradáveis , lugar bonito , por do sol imperdível","Salvador, BA",Families,2018-08-01,2
80,Mingo,O melhor fim de tarde da cidade!,50,"Ambiente familiar, um linda vista do Rio, cervejas deliciosas, comidas muito gostosas.Vale muito conhecer!","São Paulo, SP",Families,2018-08-01,2
81,Magah A,Bom local para admirar o belíssimo por do sol paraense,30,"Apesar de turístico, a Estação das Docas é ótima pedida para se admirar o por do sol com calma e alguma privacidade, já que o por do sol no Mercado Ver o Peso é uma imersão na legítima rotina da cidade no happy hour: muita conversa, muita música, muito camarão, uma cervejinha gelada e aquela alegria contagiante do paraense.",São Paulo,Families,2018-08-01,2
82,Renata S,Férias,50,"Amo a estação das docas!!! Ambiente em frente à Baia, bem ventilado, com várias opções de culinária.","Goiânia, Goias, Brazil",Families,2018-08-01,2
83,TatianaPaes,Um ótimo passeio,40,"Lugar charmoso com varias lojas e restaurantes com comidas típicas, onde temos uma bela visão do rio","Parnaíba, PI",Families,2018-08-01,2
84,actcp,Lugar excelente,50,Um ótimo passeio. Mas recomendo para a tarde. A maioria das lojas só abre a partir das 17 horas. Não deixe de tomar uma cerveja na Amazon Beer e um sorvete na Cairu.,,Families,2018-07-01,2
85,Paula_B2013,Show de lugar!,50,"É um ambiente lindo, com ar condicionado ótimo , bons restaurantes e a sorveteria Cairu, que é sensacional. Há também um mezanino móvel, onde há sempre um show de música muito bom. Excelente para almoçar ou jantar. No andar superior existem ótimas lojinhas de artesanato, onde destaco a Arco-Íris da Amazônia, que tem coisas lindas como as mini esculturas com a semente de Jarina.","Praia do Rosa, SC",Families,2018-07-01,2
86,Antonio C,Lugar ótimo para visitar e ver o por do sol,40,"Lugar ótimo para visitar e ver o por do sol.Achei os sorvetes caros, duas bolas por R$ 19,00Muito caro.","Brasília, DF",Families,2018-07-01,2
87,Fabiana C,Excelente lugar para ver o pôr do sol,50,"Excelente lugar para contemplar um lindo pôr do sol. Oferece várias opções de comida, sem contar que quase todos os dias tem alguma apresentação / evento gratuito. Vale a pena a visita!!!","Rio de Janeiro, RJ",Families,2018-05-01,2
88,Leonardo R,Linda revitalizacao,50,Essas Docas revitalizadas dão um charme especial a cidade. O contraste do antigo com o moderno conta a história da cidade e traz o conforto para aliviar o calor escaldante da cidade. Tudo muito lindo. Coisa de primeiro mundo. Imperdivel,"Belo Horizonte, MG",Families,2018-07-01,2
89,Graci,Ponto Turístico,40,"Quem vai a Belém não pode deixar de ir na Estação das Docas. Lugar bonito e badalado, com vários restaurantes.","Boa Vista, RR",Families,2017-12-01,2
