,Name,Rating_attaction,Username,Title_Review,Rating_Review,Review,Date,State,Type_traveler
12020,Praça da República,40,Rosimeire F,"""Muito grande""",50,"A ""Feira da Praça da República"" funciona aos domingos, há muita variedade de produtos lá. Desde roupas, bombons com sabores típicos de Belém e artesanatos diversos. Perto da feira, vemos prédios importantes como o Teatro de Belém.", junho de 2015,"Águas Claras, RS",Families
12021,Praça da República,40,Edicarlos_Oliveira,FORMIDÁVEL,50,"Realmente, este é um dos lugares que penso ser muito turístico e a quantidade de pessoas e de opções de compra são incríveis. RECOMENDO Muito várias visitas, sobre tudo, aos domingos em que se tem o que fora falado com maior intensidade.", maio de 2015,"Belém, PA",Families
12022,Praça da República,40,Janaína d,Feira de produtos artesanais,50,"Excelente opção de compras de produtos da terra e comidas típicas do Pará aos domingos. Tivemos a oportunidade de participar do último domingo do Arrastão do Pavulagem, vicenciando a cultura com a festa do boi Bumbá!", julho de 2015,,Families
12023,Praça da República,40,André Santos,Maltratada ,20,"A Praça da República é inegavelmente espetacular, a começar pelas suas proporções. Além disso, conta histórias do Ciclo da Borracha, presentes nos coretos de ferro inglês, hoje entregues à ferrugem, e no Teatro da Paz, cuja fachada mereceria um trato; e, ainda há o monumento republicano, completamente pichado. Apesar de toda essa riqueza cultural, todo esse patrimônio está abandonado pelo poder público, o que causa tristeza a quem visita o local e constata como a Praça está maltratada.", julho de 2015,"Brasília, DF",Families
12024,Praça da República,40,Daysinha2015,Belo espaço ,30,"A praça tem um espaço amplo, mas infelizmente está abandonada pelo poder público , uma pena pois é muito bonita. Aos domingos tem uma feira de artesanato tradicional de Belém.", julho de 2015,"Recife, PE",Families
12025,Praça da República,40,Mariza517,Linda!,50,"A praça é linda, mas precisando de alguns cuidados! É onde fica o Teatro da Paz, que também é maravilhosa! Vale a pena fazer uma visita!", junho de 2015,"Guaratinguetá, SP",Families
12026,Praça da República,40,FagnerMacedoSa,Show do Pinduca - Semana Nacional dos Bombeiros,50,"Ótimo lugar para ir com a família, pra namorar e comer comidas típicas da cidade. Nessa época de junho ha também o arrastão do Pavulagem, com suas músicas, chapéus com fitas e etc.Super recomendado.", junho de 2015,"Belém, PA",Families
12027,Praça da República,40,Katia C,imensa,40,"O ponto de destaque é o Teatro da PAZ, construção belissima, a cara do Scalla de Milão ( mais imponete ouso dizer), tem grande jardim em volta e feira de artesanato no domingo que não me pareceu nada atrativa.", junho de 2015,"São Paulo, SP",Families
12028,Praça da República,40,Cacilda G,Um dia de domingo na praça!,50,"A praça fica no coração central de Belém, com muitas atrações interessantes. Domingo tem uma feira local com comidas e artesanatos locais. Feira frequentada por pessoas de todos os cantos.", outubro de 2014,"Fortaleza, CE",Families
12029,Praça da República,40,Robélia S,deve ser uma das principais,30,"mas me impressionou a quantidade de mendigos, esta no caminho para as docas e ver-o-peso, então passei diversas vezes por esta praça. No domingo as 14 as barracas de artesanatos já estavam sendo desmontadas, não achei nada interessante para comprar", maio de 2015,São Paulo,Families
